movie_id,title,production_year,votes,vote_mean,vote_sd,theat_gross_dollars,theat_last_date,role,count,count_male,mean_male,wmean_male,mean_age,wmean_age,count_female,status,bechdel_id,imdbid,year,bechdel_title,bechdel_test
135825,Charlie and the Chocolate Factory,2005,312800,6.17,2.315,206459076,2016-08-02,director,1,1,1,1,47,47,0,all male,2417,0367594,2005,Charlie and the Chocolate Factory,3
135825,Charlie and the Chocolate Factory,2005,312800,6.17,2.315,206459076,2016-08-02,writer,2,2,1,1,62,65.1053599626801,0,all male,2417,0367594,2005,Charlie and the Chocolate Factory,3
135838,Charlie Bartlett,2007,55657,6.41,2.167,3950294,2008-04-27,actsin,19,14,0.736842105263158,0.707833015628667,28.6842105263158,28.6995542458981,5,mixed,1008,0423977,2007,Charlie Bartlett,2
135957,Charlie St. Cloud,2010,46314,6.38,2.306,31162545,2010-09-16,actsin,13,6,0.461538461538462,0.69895630399257,30.5384615384615,30.8754691829224,7,mixed,1865,1438254,2010,Charlie St. Cloud,1
135957,Charlie St. Cloud,2010,46314,6.38,2.306,31162545,2010-09-16,director,1,1,1,1,45,45,0,all male,1865,1438254,2010,Charlie St. Cloud,1
135957,Charlie St. Cloud,2010,46314,6.38,2.306,31162545,2010-09-16,writer,1,1,1,1,46,46,0,all male,1865,1438254,2010,Charlie St. Cloud,1
135976,Charlie Wilson's War,2007,87454,6.41,2.167,66661095,2016-08-02,actsin,61,41,0.672131147540984,0.434011292374738,42.2131147540984,39.4743982965136,20,mixed,2574,0472062,2007,Charlie Wilson's War,3
135976,Charlie Wilson's War,2007,87454,6.41,2.167,66661095,2016-08-02,director,1,1,1,1,76,76,0,all male,2574,0472062,2007,Charlie Wilson's War,3
135976,Charlie Wilson's War,2007,87454,6.41,2.167,66661095,2016-08-02,writer,2,2,1,1,54,53.0798933443911,0,all male,2574,0472062,2007,Charlie Wilson's War,3
135983,Charlie's Angels,2000,143558,5.5,2.062,125305545,2001-02-25,actsin,46,35,0.760869565217391,0.467934973754083,35.2608695652174,33.9974880103285,11,mixed,1155,0160127,2000,Charlie's Angels,3
135983,Charlie's Angels,2000,143558,5.5,2.062,125305545,2001-02-25,director,1,1,1,1,32,32,0,all male,1155,0160127,2000,Charlie's Angels,3
135983,Charlie's Angels,2000,143558,5.5,2.062,125305545,2001-02-25,writer,2,2,1,1,35,30,0,all male,1155,0160127,2000,Charlie's Angels,3
135985,Charlie's Angels: Full Throttle,2003,99691,5.45,2.156,100830111,2016-08-02,actsin,55,39,0.709090909090909,0.433400116808158,36.1454545454545,35.0550026025734,16,mixed,3263,0305357,2003,Charlie's Angels: Full Throttle,3
135985,Charlie's Angels: Full Throttle,2003,99691,5.45,2.156,100830111,2016-08-02,director,1,1,1,1,35,35,0,all male,3263,0305357,2003,Charlie's Angels: Full Throttle,3
135985,Charlie's Angels: Full Throttle,2003,99691,5.45,2.156,100830111,2016-08-02,writer,4,3,0.75,1,37,33.0000000004497,1,mixed,3263,0305357,2003,Charlie's Angels: Full Throttle,3
136076,Charlotte Gray,2001,8920,6.05,2.121,668140,2002-02-17,actsin,28,22,0.785714285714286,0.531074702957578,41.8571428571429,37.3635055052432,6,mixed,6129,0245046,2001,Charlotte Gray,3
136076,Charlotte Gray,2001,8920,6.05,2.121,668140,2002-02-17,director,1,0,0,0,51,51,1,all female,6129,0245046,2001,Charlotte Gray,3
136076,Charlotte Gray,2001,8920,6.05,2.121,668140,2002-02-17,writer,2,2,1,1,45,45.3450399958533,0,all male,6129,0245046,2001,Charlotte Gray,3
136083,Charlotte Sometimes,2002,1000,6.54,3.027,83500,2003-07-06,actsin,4,2,0.5,0.339238512044055,35.25,35.6201273534115,2,mixed,6088,0284478,2002,Charlotte Sometimes,2
136322,Chasing Amy,1997,112473,6.88,2.386,12006514,1997-09-28,actsin,22,17,0.772727272727273,0.856760863845533,25.7727272727273,24.3757700602712,5,mixed,2423,0118842,1997,Chasing Amy,3
136322,Chasing Amy,1997,112473,6.88,2.386,12006514,1997-09-28,director,1,1,1,1,27,27,0,all male,2423,0118842,1997,Chasing Amy,3
136322,Chasing Amy,1997,112473,6.88,2.386,12006514,1997-09-28,writer,1,1,1,1,27,27,0,all male,2423,0118842,1997,Chasing Amy,3
136994,Che: Part One,2008,37630,6.63,2.195,1731665,2009-05-17,actsin,48,40,0.833333333333333,0.615782212674432,40.0625,38.9431648015182,8,mixed,503,0892255,2008,Che: Part One,1
136994,Che: Part One,2008,37630,6.63,2.195,1731665,2009-05-17,director,1,1,1,1,45,45,0,all male,503,0892255,2008,Che: Part One,1
136994,Che: Part One,2008,37630,6.63,2.195,1731665,2009-05-17,writer,2,2,1,1,60.5,58.2572400269532,0,all male,503,0892255,2008,Che: Part One,1
137486,Chef,2014,134338,6.63,2.195,30640336,2014-09-04,actsin,18,14,0.777777777777778,0.797747621765774,42.7777777777778,48.2302612095225,4,mixed,5486,2883512,2014,Chef,1
137486,Chef,2014,134338,6.63,2.195,30640336,2014-09-04,director,1,1,1,1,48,48,0,all male,5486,2883512,2014,Chef,1
137486,Chef,2014,134338,6.63,2.195,30640336,2014-09-04,writer,1,1,1,1,48,48,0,all male,5486,2883512,2014,Chef,1
138072,Chernobyl Diaries,2012,51857,5.45,2.156,18119640,2016-08-02,actsin,15,11,0.733333333333333,0.51881979959151,33.4,32.6942344244669,4,mixed,3287,1991245,2012,Chernobyl Diaries,1
138072,Chernobyl Diaries,2012,51857,5.45,2.156,18119640,2016-08-02,writer,2,2,1,1,34.5,36,0,all male,3287,1991245,2012,Chernobyl Diaries,1
138697,Chi-Raq,2015,5093,5.86,2.849,2647377,2016-01-24,actsin,25,16,0.64,0.792003130713644,50.8,48.6432369691104,9,mixed,6660,4594834,2015,Chi-Raq,3
138697,Chi-Raq,2015,5093,5.86,2.849,2647377,2016-01-24,director,1,1,1,1,58,58,0,all male,6660,4594834,2015,Chi-Raq,3
138697,Chi-Raq,2015,5093,5.86,2.849,2647377,2016-01-24,writer,1,1,1,1,58,58,0,all male,6660,4594834,2015,Chi-Raq,3
